"Tumour","Tumours.ID","Crude.incidence.rate.per.100.000","n_orphan_designations","n_orphan_approvals","approval_rate","n_withdrawed","withdrawal_rate","total_publications","total_publications_od","n_trials","n_orphan_true","Research_score","Normalised_research_score","no_activity","research_group","rank","top_bottom_group","group"
"Pleuropulmonary blastoma",47,"0,00057",0,0,"0",0,"0",1010,0,3,0,"0,06","2,51",FALSE,"Moderately-researched",145,NA,"Published literature and clinical trials"
"Olfactory neuroblastoma",184,"0,03179",0,0,"0",0,"0",1505,0,5,0,"0,06","0,34",FALSE,"Moderately-researched",146,NA,"Published literature and clinical trials"
"Non seminomatous germ cell tumours",120,"0,05841",0,0,"0",0,"0",1340,0,9,0,"0,06","0,25",FALSE,"Moderately-researched",147,NA,"Published literature and clinical trials"
"Germ cell tumors of Central Nervous System (CNS)",119,"0,03664",4,0,"0",0,"0",327,0,21,0,"0,06","0,31",FALSE,"Moderately-researched",148,NA,"All except marketing authorisations"
"Ewing’s sarcoma of soft tissue",149,"0,06371",0,0,"0",0,"0",600,0,7,0,"0,06","0,24",FALSE,"Moderately-researched",149,NA,"Published literature and clinical trials"
"Epithelial tumours, adamantinoma",6,"0,0136",0,0,"0",0,"0",934,0,0,0,"0,06","0,51",FALSE,"Moderately-researched",150,NA,"Only published literature"
"Typical and atypical carcinoid of the lung",42,"0,39322",0,0,"0",0,"0",826,0,0,0,"0,06","0,1",FALSE,"Moderately-researched",151,NA,"Only published literature"
"Oligodendroglial tumours of CNS",139,"0,39245",0,0,"0",0,"0",1463,0,2,0,"0,06","0,1",FALSE,"Moderately-researched",152,NA,"Published literature and clinical trials"
"Ependymal tumours of CNS",138,"0,20503",0,0,"0",0,"0",1473,0,1,0,"0,06","0,13",FALSE,"Moderately-researched",153,NA,"Published literature and clinical trials"
"Choroid plexus carcinoma of CNS",93,"0,00626",0,0,"0",0,"0",813,0,12,0,"0,06","0,76",FALSE,"Moderately-researched",154,NA,"Published literature and clinical trials"
"Hodgkin lymphoma nodular lymphocyte predominance",165,"0,09467",0,0,"0",0,"0",1198,0,11,0,"0,06","0,2",FALSE,"Moderately-researched",155,NA,"Published literature and clinical trials"
"Atypical chronic myeloid leukemia BCR/ABL negative",1,"0,01526",0,0,"0",0,"0",1111,0,33,0,"0,06","0,49",FALSE,"Moderately-researched",156,NA,"Published literature and clinical trials"
"Squamous cell carcinoma with variants of nasal cavity and sinuses",58,"0,34885",0,0,"0",0,"0",349,0,2,0,"0,05","0,08",FALSE,"Under-researched",157,NA,"Published literature and clinical trials"
